ID;Num_Doc;Statement;Type
309:7;Atom_2781;When you're using the keyboard to do multi-select SublimeText (cmd-d on mac), you can skip the next occurrence of the selection with a hotkey combo (cmd-k, cmd-d on mac).;Premise
309:9;Atom_2781;I think done properly,;Claim
309:11;Atom_2781;More info on what's done in SublimeText here:;Premise
309:12;Atom_2781;That's a neat idea;Claim
309:13;Atom_2781;I think it would be cool to have separate issues for those.;Claim
309:14;Atom_2781;I think [this issue](https://github.com/atom/find-and-replace/issues/67) lists a bunch of things which that package doesn't have compared to Sublime;Claim
309:15;Atom_2781;Add quick skip next for multi select;Claim
310:3;Atom_3064;"Ok. Then I guess the change for this issue is:1. Display the shortcut in the menu.2. Allow the shortcut to be configured in the keymappings.";Claim
310:10;Atom_3064;":+1:  :shipit:Check out #3409";Non-Argument
310:11;Atom_3064;Fixed by #3409 thanks;Claim
310:12;Atom_3064;"Awesome. Thanks for picking this up, @syndbg!";Non-Argument
310:14;Atom_3064;"""Open Folder"" is usually what I want on linux,";Claim
310:15;Atom_3064;The shortcut keymapping can actually be configured via the `~/.atom/keymap.cson` and if you do add an (redundant) entry, it will make the shortcut appear in the menu:;Claim
310:16;Atom_3064;I'd be up for changing `ctrl-shift-O` to be the actual Open Folder command, do you know any other apps that follow this behavior for opening files vs. folders?;Claim
310:17;Atom_3064;I think `Ctrl` is a good leading modifier key.;Claim
310:18;Atom_3064;`O` seems intuitive;Claim
310:19;Atom_3064;the obvious choice would be `Alt`: <kbd>Ctrl</kbd>+<kbd>Alt</kbd>+<kbd>O</kbd> to open a folder.;Claim
310:20;Atom_3064;As far as I can see, there is no such binding in Atom or the bundled packages.;Claim
310:21;Atom_3064;I do also advocate for changing the `Ctrl-Shift-O` keybinding: While on Apple keyboards the `Alt` and `Cmd` keys are swapped, making them almost equivalently prominent, on PC keyboards `Ctrl` and `Shift` are considerably nearer together than `Ctrl` and `Alt`, making it harder to press them at the same time.;Claim
310:22;Atom_3064;"This means that the keybinding to open an (Atom or Atom package) developer feature would be more prominent than an end user (not necessarily a developer) feature. I think at that point developer friendliness is overdone.Here are some examples of `Ctrl+Shift` in end user functionality:- In many editors with history support";Claim
310:23;Atom_3064;"`Ctrl+O` opens a file while `Ctrl+Alt+O` opens the folder the currently opened files is stored in. In Brackets, `Ctrl-Alt-O` opens the QuickOpen (like Atom's FuzzyFinder), which is probably more frequently used and displaced opening the folder of the current file.Overall `Ctrl-Shift-O` seems to be an unusual key binding for opening something";Claim
310:24;Atom_3064;. I could imagine that the cause for this is that few programs actually have a concept of a folder/directory _and also_ a concept of a file. Many text editors only know single files and IDEs usually have a concept of a project which leads to not having a concept of a file without a project anymore. For example, Eclipse can not even open a file without a project, for sublime every opened file is implicitely an opened project.;Claim
310:25;Atom_3064;However we shouldn't think as other text editors. If it's useful and users create that keybind anyway, then it should be a keybind by default.;Claim
310:26;Atom_3064;I think `ctrl-shift-o` should open a folder, `open-dev` is an advanced feature and we've tried in the past to not reserve common keybindings for advanced features.;Claim
310:27;Atom_3064;Running `open-dev` was really common in the early days of Atom development;Claim
310:28;Atom_3064;But for the most part, people aren't doing this, except when developing packages or core, in which case using `ctrl-alt-o` on Linux to open a dev window is just as easy I believe, and of course these can always be remapped locally.;Claim
310:29;Atom_3064;`ctrl-shift-O` is currently bound to `application:open-dev` on Linux, so although it prompts for a folder, it isn't the standard Open Folder action, it opens a new window in dev mode to the selected folder. Dev mode windows are primarily used for developing packages or Atom core;Claim
310:30;Atom_3064;since it loads the CoffeeScript code from the repository instead of the JavaScript from the built app.;Premise
310:31;Atom_3064;Since opening a folder is a command to be executed;Premise
310:32;Atom_3064;because opening a file or a folder in dev mode use the same character;Premise
310:33;Atom_3064;Since `Shift` is used by `application:open-dev` by defaul;Premise
310:34;Atom_3064;"I see this going two ways:A) We decide the keybind based on C# IDEs - `ctrl-shift-o`B) We create a poll with choices `ctrl-shift-o`, `ctrl-alt-o` or `suggestion` and users vote.";Premise
310:35;Atom_3064;since it was the only way to have a stable window and bleeding edge window so you could use atom while developing atom.;Premise
310:36;Atom_3064;![image](https://cloud.githubusercontent.com/assets/11575/3791348/8fed6a9e-1b37-11e4-9f05-41ac3ffa5060.png);Premise
310:37;Atom_3064;as it's the default on OS/X. I can't seem to find a possibility to add a shortcut for this on linux. It doesn't appear in the keybindings menu, and the menu item for it in the file menu is blank, indicating no shortcut.;Premise
310:38;Atom_3064;It's not displayed;Claim
310:39;Atom_3064;but I just tested and it works in an intuitive way: <kbd>Ctrl</kbd> + <kbd>Shift</kbd> + <kbd>O</kbd>;Premise
311:2;Atom_3512;How long is this line? Might be a dupe;Claim
311:3;Atom_3512;"First that fails:";Non-Argument
311:4;Atom_3512;"So it is a long line issue, correct?";Non-Argument
311:9;Atom_3512;" Yes, that's the right issue, thanks.";Claim
311:11;Atom_3512;"Long lines stop being highlighted. If the last recognized character is in a string, the string will still be ""open"" in the next line.";Claim
311:12;Atom_3512;Closing;Claim
311:14;Atom_3512;"I don't consider my sample to be a ""large extremely long line"".";Claim
311:15;Atom_3512;This issue is not about performance, it's just about characters not included in highlighting.;Claim
311:16;Atom_3512;This is probably a dupe of https://github.com/atom/atom/issues/1667, which is what @benogle was probably thinking of. Sorry for the confusion.;Claim
311:17;Atom_3512;[Screenshot](http://i.imgur.com/9trR46V.png);Premise
311:18;Atom_3512;as a dupe of #979.;Premise
312:2;Atom_3624;"Still reproducible in latest master.";Non-Argument
312:3;Atom_3624;I'd be willing to look into it if someone could point me in the right direction.;Claim
312:5;Atom_3624;"OK I believe the problem is [here](https://github.com/atom/atom/blob/v1.0.10/src/selection.coffee#L329-L338)called by [this](https://github.com/atom/atom/blob/v1.0.10/src/text-editor.coffee#L2065)1) It'll only expand the line that contain the cursor.2) The cursor is on the last selected line.IE- select from top to bottom: only last line expand- select from bottom to top: only first line expand";Claim
312:6;Atom_3624;"Fixed via #8646.";Claim
312:7;Atom_3624;YES!  :clap: @jeancroy;Non-Argument
312:8;Atom_3624;Thank you so much;Non-Argument
312:9;Atom_3624;"Very nice!  :rainbow: @jeancroy";Non-Argument
312:11;Atom_3624;When you have a selection that spans a few lines, `cmd-l` selects the end of the last line, but doesn't select the beginning of the first line.  I expected it to select the beginning of the first line too.;Claim
312:12;Atom_3624;"Some more inconsistent behavior here: if you click mid-way through a line, then shift+down and cmd+l, you get the behavior @colllin describes. If you do shift+up then cmd+l, the beginning of the first line is selected, but not the end of the last line. So, what seems to be going on is that cmd+l is adding the line containing the cursor to the selection, instead of adding all lines containing selected text to the selection.Weirdly, if you click and drag from midway through a line to midway through the line above then cmd+l, it selects all of the upper line but deselects the lower line entirely.";Claim
312:13;Atom_3624;, if you click and drag from midway through a line to midway through the line above then cmd+l, it selects all of the upper line but deselects the lower line entirely.;Claim
312:14;Atom_3624;Also happy to look into this and come up with a PR if someone can suggest where to look.;Claim
312:15;Atom_3624;![Screen capture](http://cl.ly/image/042j0S2T1t04/Screen%20Recording%202014-09-24%20at%2007.47%20PM.gif);Premise
313:2;Atom_4453;"Does this happen in safe mode? Quit atom and run `atom --safe`. What theme are you using? When you inspect them with the dev tools, what elements are they?";Non-Argument
313:4;Atom_4453;Me too with the Seti theme/syntax theme. Same as @50Wliu - when bracket matcher matches something.;Claim
313:5;Atom_4453;Seti here too.;Non-Argument
313:8;Atom_4453;Thank you for making those;Non-Argument
313:9;Atom_4453;Closing this out since the themes have been updated now.;Claim
313:11;Atom_4453;They only appear when the cursor is in specific locations such as in the screenshot.;Claim
313:12;Atom_4453;I can confirm this using the Atom Light UI and the Fizzy syntax theme.;Claim
313:13;Atom_4453;Seems to happen whenever the Bracket Matcher matches something.;Claim
313:14;Atom_4453;This is caused by bracket matcher updating to highlight decorations... see a very prescient post by @kevinsawicki here;Claim
313:15;Atom_4453;Only the inner region is supposed to be styled, but both end up gaining the border colour causing the line to appear at the top of the editor.;Claim
313:16;Atom_4453;The themes should be updated to use `.bracket-matcher .region` as the selector.;Claim
313:17;Atom_4453;![main_coffee_-__users_samh_sites_cartutopia_app_-_atom](https://cloud.githubusercontent.com/assets/440132/5344483/cbb34eb8-7ec4-11e4-98af-c024bb1d0f88.png);Premise
314:1;Atom_4718;"Add a title and icon to update dialogRefs atom/notifications#15.  Currently, the ""No update available"" dialog has no title or icon.";Claim
314:2;Atom_4718;" is it possible to show icons in dialogs on Windows using Atom Shell?";Claim
314:3;Atom_4718;Screenshot for Reference;Premise
314:4;Atom_4718;Refs;Non-Argument
314:5;Atom_4718;ily;Non-Argument
315:2;Atom_5497;"Can you try running the ""Editor: Toggle Soft Tabs"" command from the command palette while that file is open, and see if that helps?";Non-Argument
315:6;Atom_5497;Please feel free to open an issue in the status bar package;Non-Argument
315:9;Atom_5497;"also broken for me, very annoying.";Non-Argument
315:10;Atom_5497;I agree this bug;Claim
315:11;Atom_5497;"Same for me";Non-Argument
315:13;Atom_5497; i think, we should reopen this.;Claim
315:15;Atom_5497;"Set `softTabs` in `config.cson` to `true`";Non-Argument
315:17;Atom_5497;"I added softTabs: true to my config and that seem to do the trick. When i view my preferences though it says SoftTabs are disabled? If the config is true shouldn't this setting be checked?";Non-Argument
315:18;Atom_5497;I also had to set softTabs in my config.cson file to get softTabs to actually be enabled/working.  Is there some other configuration that might be intercepting my editor settings?  In the editor settings in the UI, I have softTabs enabled and a tab length of 2.  The tab length is respected when tabs are inserted, but the soft tab setting is not respected.  It is only by putting it in my cson file that I can truly have softTabs;Non-Argument
315:22;Atom_5497;Why is this closed?;Non-Argument
315:23;Atom_5497;"This issue still exist!";Claim
315:31;Atom_5497; If so, I believe that this should be documented below the checkbox in preferences.;Claim
315:32;Atom_5497;maybe it is just a default for newly-opened editor tabs?;Claim
315:33;Atom_5497;this should be fixed when https://github.com/atom/atom/issues/3719 is fixed).;Claim
315:34;Atom_5497;I think it might be related to js-formatter plugin ;Claim
315:35;Atom_5497;I would love to have some status bar icon showing the current status of this flag (tabs or spaces).;Claim
315:39;Atom_5497; I think we should open a new issue which clearly explains the problem and gives exact steps to reproduce the problem (exact file being opened, exact config settings being used, etc).;Claim
315:40;Atom_5497;I wasn't able to reproduce this. Can you open a new issue in https://github.com/atom/settings-view with clear steps to reproduce and [more information](https://github.com/atom/atom/blob/master/CONTRIBUTING.md#submitting-issues)?;Claim
315:41;Atom_5497; It's a basic feature for an editor.;Claim
315:43;Atom_5497;I can't understand why this happens, it's like probably the largest bug in the history of Atom;Claim
315:44;Atom_5497;Most reports of issues seem to be closed without resolving the underlying problem. There is only one open I could find (on cursory clicking):;Claim
315:45;Atom_5497;"The big issue as reported is the inaccurate ""guessing"" combined with the inability for an editor-wide setting (and not per-file setting).";Claim
315:46;Atom_5497;"It may be that several preferences may be required instead of having one monolithic setting which is clearly causing unhappiness:- Default for all files (y/n)- Default for certain files (by file extension)- Setting on per file basis";Claim
315:47;Atom_5497;The idea would be to be able to re-order these in terms of priority,;Claim
315:48;Atom_5497;It isn't just the editor itself, seems to be some underlying code that causes it because not even the package tabs-to-spaces can convert tabs in a html-file to pure spaces.;Claim
315:52;Atom_5497;It was ticked.  I unticked it and now my problem seems to be solved.  Very frustrating though;Claim
315:54;Atom_5497;"""Soft tabs"" don't work";Claim
315:55;Atom_5497;I would expect leading spaces to be added to the new line.;Claim
315:57;Atom_5497;"But when I do, tabs are added instead:![screenshot 2015-02-11 11 59 59](https://cloud.githubusercontent.com/assets/3027415/6145765/be94e300-b1e5-11e4-8a1e-6568571d4e50.png)";Premise
315:59;Atom_5497;"Something like a warning icon that says ""hey, you have chosen to use spaces in the preferences, but this file uses tabs, so Atom will indent your lines with tabs"". The current behaviour is far from intuitive.";Premise
315:60;Atom_5497;I think @leedohm has a package for this.;Claim
315:61;Atom_5497;"He has two or three packages tohelp with the tab/space problems.";Premise
315:62;Atom_5497;This isn't working for me.;Claim
315:63;Atom_5497;I expect that;Claim
315:64;Atom_5497; If I enable soft tabs I expect that to be the default. I shouldn't have to set tabs for every file I work with.;Premise
315:66;Atom_5497;same for me, makes writing python a nightmare;Claim
315:67;Atom_5497;this is weird behaviour;Claim
315:68;Atom_5497;"the checkbox in preferences is extremely misleading, sort of got it right by changing configstill, leading spaces are automatically grouped by 4, making it impossible to change my indent level to 2.";Premise
315:69;Atom_5497;This is a misfeature!;Claim
315:70;Atom_5497;"I just learned about this while a heredoc was breaking and now I wonder how many files I may have contaminated.Absolutely ridiculous!";Premise
315:71;Atom_5497;Soft tabs should never be the default behavior. At the very least tell us in the status line what's going on. Even if it's trying to auto-detect, this is too much magic. People rely on correct whitespace like they rely on correct encoding.;Premise
315:72;Atom_5497;I agree that there is still an issue here.;Claim
315:73;Atom_5497;We have coding standard at work that requires us to use soft tabs for new/refactored code. Unfortunately, we work with legacy code which is currently littered with hard tabs which is auto-detected and changes my settings. I don't want to ever write a hard tab.;Premise
315:74;Atom_5497;Thanks for all the comments, everyone. https://github.com/atom/atom/pull/8356 introduced a new config setting `editor.tabType` which defines which character is inserted during Tab keypress. Can you all take a look at that and give that a try and see if it resolves your problems? If not,;Premise
315:76;Atom_5497;"here are my steps to reproduce:1. Check 'Soft Tabs' in 'Settings'.2. Set 'Tab Type' to `soft` in 'Settings'.3. Make sure they're set correctly in `config.cson`.4. Be sad every time I try to tab in all sorts of files (`html`, `js`) it uses hard tabs instead of soft tabs.";Premise
315:77;Atom_5497;. haven't had a tab/space issue or my text editor crash yet! ???;Claim
315:78;Atom_5497;I solved this problem by switching to Vim 3 months ago;Premise
315:79;Atom_5497;I was having this exact problem.  Cursor would jump over like it was a hard tab, even find and replace using an actual tab would detect tabs all over the file.  Then I found **Atomic Soft Tabs** option under Editor settings.  It was ticked.;Premise
315:80;Atom_5497;I guess its time to go back to sublime text.;Claim
315:81;Atom_5497;I have been struggling with this for a long time. I cannot get atom to do a soft tab with 2 spaces. It never, never, never does it. Incredibly frustrating to go through and set it in the editor and then follow this message chain and not find an answer that actually works. Otherwise, Atom is very nice if a bit slow at times.;Premise
315:83;Atom_5497;It isn't just the editor itself, seems to be some underlying code that causes it;Claim
315:84;Atom_5497;"because not even the package tabs-to-spaces can convert tabs in a html-file to pure spaces.I sure wish there was a never-ever-ever-ever use tabs ever in any file ever regarding of package settings thing to turn **ON** and then delete the code that shows the button";Premise
315:85;Atom_5497;Please keep this open, its been a while since June and this is still a problem and;Premise
315:86;Atom_5497;I agree its about to make me switch away from atom;Claim
315:87;Atom_5497;"## Closed- #5497- #3719- #5192## Open- #4054";Premise
315:88;Atom_5497;When I tried to use emmet I faced the same problem that every one here;Claim
315:89;Atom_5497;so, after trying with different options, at the end I found that using the keys combination ctrl+shift+enter is more confortable than traditional way, y recomended it, you will be seeing in real time how html will be rendered;Premise
315:90;Atom_5497;![screenshot 2015-02-11 11 59 46](https://cloud.githubusercontent.com/assets/3027415/6145763/bc1c2bc4-b1e5-11e4-8102-953c9a83beb2.png);Premise
316:3;Atom_5879;"There are many packages that handle this.  Seehttps://atom.io/search?utf8=%E2%9C%93&q=tabs";Claim
316:4;Atom_5879;"Fantastic. I should have known someone would have thought of this. Thanks";Non-Argument
316:6;Atom_5879;I think it would be great to have an option to set only have two tabs open or 3, so you can switch back and forth quickly to those tabs without having to think about which tab you were last on and where it is.;Claim
316:7;Atom_5879;90% of the time, I just want to use the last tab I had open, and I really cannot use the tabs at all, because there's so many, and I can't tell the names on them;Claim
316:8;Atom_5879;If it automatically closed the 6th to the last tab you had open or so, you could only have the last 5 tabs you had open.;Claim
316:9;Atom_5879;"Option to set how many tabs are open at once.I don't know about you guys, but my tabs very quickly get filled, and are thus rendered useless.";Claim
316:10;Atom_5879;There is a package called [Zen Tabs](https://atom.io/packages/zentabs;Premise
316:11;Atom_5879;that seems like it can give you the feature you want. I think there are a couple others with similar functionality. Have you tried using a package for this?;Claim
317:3;Atom_7466;"Just to clarify - are you looking for mobile support or just support for touch events on any platform (possibly including iOS and Android in addition to desktop)?";Non-Argument
317:5;Atom_7466;The one I mentioned above?;Non-Argument
317:6;Atom_7466;"No I was thinking about the ""make a web version of Atom"" issue. Not specific to touch. Yours is still a good reference though!";Non-Argument
317:7;Atom_7466;Ah got it.;Non-Argument
317:8;Atom_7466;Node JS for iOS. This is for mobile support since most of the text editors I've seen for mobile are too basic or pricy.;Claim
317:9;Atom_7466;Now that the iPad Pro exists, an iOS version of atom would be KILLER;Non-Argument
317:10;Atom_7466; this would be game changing;Claim
317:12;Atom_7466;"if the code was running on a Linux box, could a UI be written to hit the API and the services to the server?";Non-Argument
317:14;Atom_7466;"A touch version of atom with builds for jail broken iOS devices and Android devices.This will probably take a lot of work to get done but would be worth it. ";Claim
317:15;Atom_7466;This could be done as a separate branch of Atom and also a version that doesn't have as much of the hack ability as the regular version for release on the iOS App Store.;Claim
317:16;Atom_7466;The iOS version would have to support x-callback-urls for compatibility with coding apps that have them like an app called Working Copy which is a great Git client for iOS.;Claim
317:17;Atom_7466;I'm pretty sure Node.js does not run on iOS devices. Same goes for Android;Claim
317:18;Atom_7466;Long story short, Atom will not run on iOS or Android devices.;Claim
317:19;Atom_7466;this would be a huge effort with limited payoff, and likely impossible without drastically changing the architecture of the editor;Claim
317:20;Atom_7466;We'd prefer to focus on making Atom and Electron better on OS X, Windows and Linux.;Claim
317:21;Atom_7466;Maybe in the future, mobile OSes will provide tooling to let Electron apps be compiled without much modification, but we won't be rewriting the editor to run on the iOS and Android of today.;Claim
317:22;Atom_7466;For touch events in general, here are a few issues related to supporting Windows touch events - it's far from the stated desire of this issue, but working with any kind of touch UI is a necessary very early first step to running on some specific touch hardware;Claim
317:23;Atom_7466;Given that Atom is currently built with Electron and depends on our custom fork of libchromiumcontent;Premise
317:24;Atom_7466;Since atom is a web technology based in nature just making it touch capable;Premise
317:25;Atom_7466;would be the only thing needed.;Claim
317:26;Atom_7466;It may not have everything you need, but have you tried this package:;Claim
317:27;Atom_7466;the related open issue could be seen as the original request I suppose;Claim
317:28;Atom_7466;I would close this one;Claim
317:29;Atom_7466;"as a duplicate and comment on the latter to progress:https://github.com/atom/atom/issues/6724";Premise
318:5;Atom_7989;"You could at least highlight the declaration differently.  `val a` and `vara` are different.";Claim
318:7;Atom_7989;"@maxbrunsfeld Emacs does provide an API for painting arbitrary regions of the buffer with arbitrary properties, though - there's no horrid `defadvice` or monkey-patching necessary in order to do these things. One can simply say ""in line 4 columns 13-17, add this color, this tooltip, this mouse-over behavior, and this right-click menu"". Thanks for the reply, though!";Non-Argument
318:9;Atom_7989;"Is there a way of of defining a dynamic grammar in atom?If there is, this ticket is about improving the documentation.if not it's about implementing a way of doing a dynamic grammar";Claim
318:10;Atom_7989;The clearest explanation I found is this screenshot in Scala:;Claim
318:11;Atom_7989;This is not possible just through regular expressions;Claim
318:12;Atom_7989;I agree that this would be _very_ cool.;Claim
318:14;Atom_7989;At some point in the next year, we may put some work into making our grammar system more powerful.;Claim
318:15;Atom_7989;If and when we do this, we'll definitely blog about it, and you should bring up your desired features so we can talk about it in more detail.;Claim
318:16;Atom_7989;I'm going to close this out for now, assuming we'll have to continue this discussion much later, but let me know if you'd like me to reopen it.;Claim
318:17;Atom_7989;"This is used to great effect in `idris-mode` for Emacs, where the compiler tells the editor precisely how to color source text by stating ""make this subregion look like this, and this other one look like this"".";Claim
318:18;Atom_7989;. If I'm not mistaken, doing this is @archaeron's goal for the Atom mode for Idris.;Claim
318:19;Atom_7989;We don't support this ability right now. But as you know, the vast majority of our codebase (like emacs's) is written in a dynamic language;Claim
318:20;Atom_7989;we probably won't be able to give you too much guidance at this time;Claim
318:21;Atom_7989;this would have been really great.;Claim
318:22;Atom_7989;this would work in this example even if it would not help too much as one would want to know later in the program is a variable is mutable or not. Plus my usecase is a bit more complicated thant this example.;Claim
318:23;Atom_7989;"<img width=""155"" alt=""screen shot 2015-07-20 at 18 12 08"" src=""https://cloud.githubusercontent.com/assets/471043/8780779/85808fe4-2f0b-11e5-85f2-8b015c19f71f.png"">";Premise
318:24;Atom_7989;it is not currently possible. At some point in the next year,;Premise
319:4;Atom_8250;"Atom affects other programs' UIs on multiple desktopsI use MS Desktops (https://technet.microsoft.com/en-us/library/cc817881.aspx) on 64-bit Windows 7 and find that when Atom is running, when I bring other programs to the front, they don't always refresh completely, and I have to click again in the window or scroll the window to force a full refresh.";Claim
319:5;Atom_8250;This seems to be a particular problem when using a desktop other than the default one, and when the programs are not running full-screen;Claim
319:6;Atom_8250;The screenshot shows empty files in Atom and the Arduino UI.;Claim
319:7;Atom_8250;Using the VirtuaWin virtual desktop manager seems to solve the problem.;Claim
319:8;Atom_8250;![screen](https://cloud.githubusercontent.com/assets/4245329/9111729/ad7ff2c6-3c41-11e5-810e-cbaa757bec48.png);Premise
319:9;Atom_8250;cc;Non-Argument
320:1;Atom_8553;"Add API for custom ""virtual"" lines (like those used in soft-wrap)Following this [discussion](https://discuss.atom.io/t/inserting-fake-blank-lines-in-the-editor-like-softwrap/18547/8)Atom has the ability to create and set content for lines that don't exist in the buffer. This is used for soft-wrapping text. Package creators would benefit from an api to do this manually, for example ""to add some virtual lines for references"" (Ominisharp-atom) or to make space for custom/temporary UI elements (preview-inline).By using the existing line rendering system the performance tuning is maintained, unlike in a solution that would allow arbitrary 'inline block' elements.";Claim
320:4;Atom_8553;because it has not had recent activity. It will be closed if no further activity occurs.;Premise
320:5;Atom_8553;This issue has been automatically marked as stale;Claim
321:1;Atom_9273;"Close button for find tool. feature requestA button to toggle the find tool when the find tool is open would be very useful. I currently have to hit alt and then find the toggle under the find options";Claim
321:4;Atom_9273;This looks like a duplicate;Claim
321:5;Atom_9273;https://github.com/atom/find-and-replace/issues/347;Premise
322:1;Atom_9395;"atom 1.10 on Macthe cursor is invisible";Claim
322:2;Atom_9395;"This is likely an issue with the one of the themes you have installed. Can you try starting atom in [safe mode](https://atom.io/docs/latest/hacking-atom-debugging#check-if-the-problem-shows-up-in-safe-mode)?";Claim
322:3;Atom_9395;thanks for the hint, and yes in safe mode is all fine;Non-Argument
323:2;Atom_10063;"Make it easier to quickly close a large number of tabsHave you ever noticed how you can close a large number of tabs very quickly in Chrome?";Claim
323:3;Atom_10063;I've noticed while using Atom that I oftentimes want to quickly close a large number of tabs, which proves to be challenging given the current state of tab closing. Below are two options for how this could be improved.;Claim
323:4;Atom_10063;"Move the ""x"" to the same side tabs are floated. For me, tabs are floated left (this may be different for right-to-left languages, I don't know). For me, if the ""x"" was also on the left, then you could rapidly close tabs by clicking repeatedly in the same position, since the ""x"" of the next tab would occupy the same position as the ""x"" of the tab that was just closed. This seems like the obvious solution to me, but there may be other reasons that the ""x"" was placed on the right-hand side that I'm not aware of.";Claim
323:5;Atom_10063;"Leave the ""x"" where it is (on the right-hand side), but use Chrome's approach of keeping the tab size constant until the user moves the mouse out of the tab region. This would require a lot more code, but would allow you to keep the ""x"" on the right-hand side (if that is important for some reason).";Claim
323:6;Atom_10063;Thanks for the suggestion! This looks like a duplicate of https://github.com/atom/tabs/issues/129 – feel free to keep the discussion going there.;Claim
323:7;Atom_10063;"This is because the width of the tab is held constant until the mouse leaves the tab area, so if I close a tab, the next tab moves to occupy the exact same space that the previous tab did, with the ""x"" in the same position, allowing me to quickly close a large number of tabs by simply clicking repeatedly in the same spot.";Premise
324:2;Atom_10892;"apologies @lee-dohm, I searched over there too but just for ""rename"" ""input length"" and similar, and managed to miss that one. thanks!";Non-Argument
324:3;Atom_10892;You're welcome! I know that searching for these things is somewhat finicky;Non-Argument
324:5;Atom_10892;"File Rename input box doesn't scroll if the filename is very longWhen renaming a file, if the filename is very long (too long to fit in the width of the Rename input box), the entire path will not show up and you can't horizontally scroll to see the end of the path.";Claim
324:6;Atom_10892;You can delete part of the filename/path to shorten it enough to get the whole thing in the input box. You can still successfully rename the file.;Claim
324:7;Atom_10892;Correct behavior should be that the input box will scroll horizontally as you arrow/select over the entire filename so you can see the whole path and edit it.;Claim
324:8;Atom_10892;This is a duplicate of https://github.com/atom/tree-view/issues/473. Please subscribe there for updates;Claim
324:9;Atom_10892;"<img width=""882"" alt=""rename-short"" src=""https://cloud.githubusercontent.com/assets/685195/13156096/731a8e6c-d646-11e5-895d-49f0d193131d.png"">";Premise
325:2;Atom_10905;"What @GuillaumeLegendre is asking for is a way to make non-standard (CRLF on Unix/Mac or LF on Windows) line-endings visible as errors no matter what the invisibles settings are.I listed a workaround in atom/line-ending-selector#23, but it really only works in one direction not the other. It also depends on Invisibles being turned on.";Non-Argument
325:3;Atom_10905;"This issue has been automatically marked as stale because it has not had recent activity. It will be closed if no further activity occurs. Thank you for your contributions.";Claim
325:5;Atom_10905;Could it be possible to make more visible lines ending who aren't the line ending by default?;Claim
325:6;Atom_10905;they aren't always well formed.;Claim
325:7;Atom_10905;Make non-standard line-endings more visible (stylable);Claim
326:2;Atom_11141;"These elements are configured by the UI theme. Some UI themes provide additional settings (gear icon next to the theme name) providing options to disable animations.Anyway, you can overwrite the theme rules via the `styles.less` file in your `.atom` folder or by open it via the command palette: _""Application: Open Your Stylesheet""_.You can read more about it here: [Atom Flight Guide - Style Tweaks](https://atom.io/docs/latest/using-atom-basic-customization#style-tweaks)**Disable tooltips**You can set the `display`\- and `visibility` property to prevent tooltip popups:``` css.tooltip {display: none;visibility: hidden;}```**Disable tab close-icon animation**You can overwrite the `:hover` pseudo class of the `.close-icon` class for tabs with a empty selector:``` css.tab-bar {.tab {.close-icon {&:hover {/* Empty selector block to prevent close-icon animation */}}}}```> - Define a working set plus button> - Tooltip over strings etc [...]Sorry, I don't know what you mean for these two list items.";Non-Argument
