ID;Num_Doc;Statement;Type
311:18;Atom_3512;as a dupe of #979.;Premise: Referring to another issue
312:15;Atom_3624;![Screen capture](http://cl.ly/image/042j0S2T1t04/Screen%20Recording%202014-09-24%20at%2007.47%20PM.gif);Premise: Visual content or supporting file
313:17;Atom_4453;![main_coffee_-__users_samh_sites_cartutopia_app_-_atom](https://cloud.githubusercontent.com/assets/440132/5344483/cbb34eb8-7ec4-11e4-98af-c024bb1d0f88.png);Premise: Visual content or supporting file
314:3;Atom_4718;Screenshot for Reference;Premise: Visual content or supporting file
315:57;Atom_5497;"But when I do, tabs are added instead:![screenshot 2015-02-11 11 59 59](https://cloud.githubusercontent.com/assets/3027415/6145765/be94e300-b1e5-11e4-8a1e-6568571d4e50.png)";Premise: Visual content or supporting file
315:59;Atom_5497;"Something like a warning icon that says ""hey, you have chosen to use spaces in the preferences, but this file uses tabs, so Atom will indent your lines with tabs"". The current behaviour is far from intuitive.";Premise: Evidence that the issue is or can be resolved
315:61;Atom_5497;"He has two or three packages tohelp with the tab/space problems.";Premise: Visual content or supporting file
315:64;Atom_5497; If I enable soft tabs I expect that to be the default. I shouldn't have to set tabs for every file I work with.;Premise: Specific usage experience
315:68;Atom_5497;"the checkbox in preferences is extremely misleading, sort of got it right by changing configstill, leading spaces are automatically grouped by 4, making it impossible to change my indent level to 2.";Premise: Specific usage experience
315:70;Atom_5497;"I just learned about this while a heredoc was breaking and now I wonder how many files I may have contaminated.Absolutely ridiculous!";Premise: Visual content or supporting file
315:71;Atom_5497;Soft tabs should never be the default behavior. At the very least tell us in the status line what's going on. Even if it's trying to auto-detect, this is too much magic. People rely on correct whitespace like they rely on correct encoding.;Premise: Specific usage experience
315:73;Atom_5497;We have coding standard at work that requires us to use soft tabs for new/refactored code. Unfortunately, we work with legacy code which is currently littered with hard tabs which is auto-detected and changes my settings. I don't want to ever write a hard tab.;Premise: Evidence that the issue is or can be resolved
315:74;Atom_5497;Thanks for all the comments, everyone. https://github.com/atom/atom/pull/8356 introduced a new config setting `editor.tabType` which defines which character is inserted during Tab keypress. Can you all take a look at that and give that a try and see if it resolves your problems? If not,;Premise: Evidence that the issue is or can be resolved
315:76;Atom_5497;"here are my steps to reproduce:1. Check 'Soft Tabs' in 'Settings'.2. Set 'Tab Type' to `soft` in 'Settings'.3. Make sure they're set correctly in `config.cson`.4. Be sad every time I try to tab in all sorts of files (`html`, `js`) it uses hard tabs instead of soft tabs.";Premise: Specific usage experience
315:78;Atom_5497;I solved this problem by switching to Vim 3 months ago;Premise: Referring to another issue
315:79;Atom_5497;I was having this exact problem.  Cursor would jump over like it was a hard tab, even find and replace using an actual tab would detect tabs all over the file.  Then I found **Atomic Soft Tabs** option under Editor settings.  It was ticked.;Premise: Specific usage experience
315:81;Atom_5497;I have been struggling with this for a long time. I cannot get atom to do a soft tab with 2 spaces. It never, never, never does it. Incredibly frustrating to go through and set it in the editor and then follow this message chain and not find an answer that actually works. Otherwise, Atom is very nice if a bit slow at times.;Premise: Specific usage experience
315:84;Atom_5497;"because not even the package tabs-to-spaces can convert tabs in a html-file to pure spaces.I sure wish there was a never-ever-ever-ever use tabs ever in any file ever regarding of package settings thing to turn **ON** and then delete the code that shows the button";Premise: Specific usage experience
315:85;Atom_5497;Please keep this open, its been a while since June and this is still a problem and;Premise: Visual content or supporting file
315:87;Atom_5497;"## Closed- #5497- #3719- #5192## Open- #4054";Premise: Visual content or supporting file
315:89;Atom_5497;so, after trying with different options, at the end I found that using the keys combination ctrl+shift+enter is more confortable than traditional way, y recomended it, you will be seeing in real time how html will be rendered;Premise: Specific usage experience
315:90;Atom_5497;![screenshot 2015-02-11 11 59 46](https://cloud.githubusercontent.com/assets/3027415/6145763/bc1c2bc4-b1e5-11e4-8102-953c9a83beb2.png);Premise: Visual content or supporting file
316:10;Atom_5879;There is a package called [Zen Tabs](https://atom.io/packages/zentabs;Premise: Visual content or supporting file
317:23;Atom_7466;Given that Atom is currently built with Electron and depends on our custom fork of libchromiumcontent;Premise: Clarification/ providing additional information
317:24;Atom_7466;Since atom is a web technology based in nature just making it touch capable;Premise: Clarification/ providing additional information
317:29;Atom_7466;"as a duplicate and comment on the latter to progress:https://github.com/atom/atom/issues/6724";Premise: Referring to another issue
318:23;Atom_7989;"<img width=""155"" alt=""screen shot 2015-07-20 at 18 12 08"" src=""https://cloud.githubusercontent.com/assets/471043/8780779/85808fe4-2f0b-11e5-85f2-8b015c19f71f.png"">";Premise: Visual content or supporting file
318:24;Atom_7989;it is not currently possible. At some point in the next year,;Premise: Evidence that the issue is or can be resolved
319:8;Atom_8250;![screen](https://cloud.githubusercontent.com/assets/4245329/9111729/ad7ff2c6-3c41-11e5-810e-cbaa757bec48.png);Premise: Visual content or supporting file
320:4;Atom_8553;because it has not had recent activity. It will be closed if no further activity occurs.;Premise: Evidence that the issue is or can be resolved
321:5;Atom_9273;https://github.com/atom/find-and-replace/issues/347;Premise: Referring to another issue
323:7;Atom_10063;"This is because the width of the tab is held constant until the mouse leaves the tab area, so if I close a tab, the next tab moves to occupy the exact same space that the previous tab did, with the ""x"" in the same position, allowing me to quickly close a large number of tabs by simply clicking repeatedly in the same spot.";Premise: Specific usage experience
324:9;Atom_10892;"<img width=""882"" alt=""rename-short"" src=""https://cloud.githubusercontent.com/assets/685195/13156096/731a8e6c-d646-11e5-895d-49f0d193131d.png"">";Premise: Visual content or supporting file
327:43;Atom_11448;It's way too easy to close tabs by mistake.;Premise: Specific usage experience
327:44;Atom_11448;which cannot be reopened in the same place with built-in shortcuts.;Premise: Specific usage experience
327:47;Atom_11448;so make the active area smaller please.;Premise: Evidence that the issue is or can be resolved
327:49;Atom_11448;so I also found it intrusive. I use Mouse3 or ctrl-w for all tabs I close.;Premise: Referring to another issue
327:51;Atom_11448;because the close button is hidden.;Premise: Clarification/ providing additional information
327:52;Atom_11448;"so I can't really prevent the close action with CSS. Not much I can do without modifying more files other than the stylesheet.Let me know if anyone comes up with a better solution.";Premise: Specific usage experience
327:54;Atom_11448;so let's clear this and position the button with margin.;Premise: Evidence that the issue is or can be resolved
327:56;Atom_11448;so we change height and line-height to be just the size we want and then position it with margin.;Premise: Evidence that the issue is or can be resolved
327:59;Atom_11448;![atom](https://cloud.githubusercontent.com/assets/20016536/16172793/1f6cb400-3566-11e6-9b99-cf26ac461c51.png);Premise: Visual content or supporting file
327:60;Atom_11448;"<img width=""90"" alt=""screen shot 2016-06-21 at 11 28 27 am"" src=""https://cloud.githubusercontent.com/assets/378023/16216247/3635e504-37a4-11e6-821b-6bf0c644d5a9.png""> | <img width=""96"" alt=""screen shot 2016-06-21 at 11 27 41 am"" src=""https://cloud.githubusercontent.com/assets/378023/16216254/4569a592-37a4-11e6-8f89-80eef4cc13f8.png"">";Premise: Visual content or supporting file
327:62;Atom_11448;![image](https://cloud.githubusercontent.com/assets/118951/14506499/f28256ce-0172-11e6-9860-725f9465d638.png);Premise: Visual content or supporting file
327:63;Atom_11448;![000048](https://cloud.githubusercontent.com/assets/14937219/14517947/81e1ad24-0245-11e6-9fca-7334152aab68.png);Premise: Visual content or supporting file
327:64;Atom_11448;![close-icon](https://cloud.githubusercontent.com/assets/378023/16225420/5ec9d42a-37e1-11e6-8111-c1d6859b7cc1.gif);Premise: Visual content or supporting file
327:65;Atom_11448;Since this has been addressed in the One themes;Premise: Evidence that the issue is or can be resolved
327:69;Atom_11448;"When I try to switch to the ""gad.h"" tab, I almost always end up clicking in the close ""x"" button.";Premise: Specific usage experience
327:70;Atom_11448;What I suggested was to include a minimum fixed tab size to override the size of those tabs that have a short size due to the name of the file being too short in length.;Premise: Evidence that the issue is or can be resolved
327:71;Atom_11448;making the click area too small, makes it harder to close tabs and you have to aim more precisely;Premise: Referring to another issue
327:72;Atom_11448;. Another option might be to have a background color for the icon on hover;Premise: Evidence that the issue is or can be resolved
328:8;Atom_11607;"<img width=""1280"" alt=""screenshot 2016-04-26 07 35 16"" src=""https://cloud.githubusercontent.com/assets/156895/14801259/f44ba536-0b82-11e6-8ae4-879129e7f770.png"">";Premise: Visual content or supporting file
328:10;Atom_11607;"<img width=""614"" alt=""screenshot 2016-04-26 08 00 56"" src=""https://cloud.githubusercontent.com/assets/156895/14801563/18b03584-0b85-11e6-8640-f71606d24102.png"">";Premise: Visual content or supporting file
329:6;Atom_11681;![bookmarks](https://cloud.githubusercontent.com/assets/180154/14991120/7e678452-1168-11e6-9f1e-3de93b93c6dd.gif);Premise: Visual content or supporting file
330:9;Atom_11964;![screen shot 2016-06-12 at 16 09 03](https://cloud.githubusercontent.com/assets/11625453/15989914/48bd8512-30b8-11e6-95b1-f64a23e1f96a.png);Premise: Visual content or supporting file
330:10;Atom_11964;"<img width=""219"" alt=""screen shot 2016-10-08 at 13 29 21"" src=""https://cloud.githubusercontent.com/assets/526657/19211489/46fb2c02-8d5b-11e6-9537-105cdf1484e2.png"">";Premise: Visual content or supporting file
330:11;Atom_11964;"Because the Atom team treats their issues [as their backlog](https://en.wikipedia.org/wiki/Scrum_(software_development)#Product_backlog), stale issues are closed. If you would like this issue to remain open:1. Verify that you can still reproduce the issue in the latest version of Atom1. Comment that the issue is still reproducible and include:* What version of Atom you reproduced the issue on* What OS and version you reproduced the issue on* What steps you followed to reproduce the issueIssues that are labeled as triaged will not be automatically marked as stale.";Premise: Evidence that the issue is or can be resolved
330:13;Atom_11964;"But, need tap delete key twice to delete it.Or, tap delete key once, there will still has a character.";Premise: Evidence that the issue is or can be resolved
330:14;Atom_11964;Because these emoji has two Unicode, such as flags, face with different skin color;Premise: Clarification/ providing additional information
331:5;Atom_12769;![atom_issue](https://cloud.githubusercontent.com/assets/6034290/18814543/fe8c6864-831e-11e6-9a84-f5761266a796.gif);Premise: Visual content or supporting file
331:6;Atom_12769;![screen shot 2016-09-25 at 12 30 30 pm](https://cloud.githubusercontent.com/assets/6034290/18814544/fe95b3b0-831e-11e6-970c-795a5c9a46aa.png);Premise: Visual content or supporting file
331:10;Atom_12769;thus I can't be sure that updating to Sierra causes that issue.;Premise: Evidence that the issue is or can be resolved
333:17;Atom_15217;I checked Sublime Text 3 and vscode 1.15. Neither of them update the selection if you hold down the mouse button when editing text after selecting with the mouse;Premise: Comparing with competitors/consistency
333:20;Atom_15217;![demo](https://user-images.githubusercontent.com/2340296/29136116-cede213e-7d6e-11e7-89b6-916e08ab2999.gif);Premise: Visual content or supporting file
333:21;Atom_15217;every time it reproduce. But it will not reproduce when you use undo to get the selection back after type the letter `x`, like typing `cmd-z`.;Premise: Evidence that the issue is or can be resolved
333:24;Atom_15217;https://github.com/atom/atom/issues/14911;Premise: Referring to another issue
333:26;Atom_15217;Because we treat our issues list as [the Atom team's backlog](https://en.wikipedia.org/wiki/Scrum_(software_development)#Product_backlog), we close duplicates to focus our work and not have to touch the same chunk of code for the same reason multiple times. This is also why we may mark something as duplicate that isn't an exact duplicate but is closely related.;Premise: Referring to another issue
333:28;Atom_15217;because you are still holding down the mouse button when changing the selected text. Atom 1.18 did not update the selection if you held down the mouse button after changing selected text.;Premise: Specific usage experience
333:30;Atom_15217;I am using Mac trackpad, and enabled three finger drag. When after drag I take my hand off the trackpad, it seems that the trackpad reacts a bit delay.;Premise: Evidence that the issue is or can be resolved
333:31;Atom_15217;Going to reopen this;Premise: Evidence that the issue is or can be resolved
333:33;Atom_15217;since there is a difference between Atom 1.18 and 1.19 that I can't find documentation of I will bring it up for discussion with the Atom team;Premise: Specific usage experience
333:36;Atom_15217;"![8 -22-2017 13-41-48](https://user-images.githubusercontent.com/5051791/29550308-b038e86a-873f-11e7-9b8c-c6e44cd50ae6.gif)**Actual behavior:**![8 -22-2017 13-26-27](https://user-images.githubusercontent.com/5051791/29550130-b43ec7c8-873e-11e7-95ba-b0ddb474aa33.gif)And by typing:![8 -22-2017 13-27-56](https://user-images.githubusercontent.com/5051791/29550407-26b8ec92-8740-11e7-8ecc-a47b1800a758.gif)";Premise: Visual content or supporting file
333:38;Atom_15217;https://github.com/atom/atom/issues/15217#issuecomment-321890961;Premise: Visual content or supporting file
334:7;Atom_15442;https://github.com/atom/atom/issues/15401 and https://github.com/atom/atom/pull/15367;Premise: Referring to another issue
335:5;Atom_16355;https://github.com/atom/atom/issues/14325.;Premise: Referring to another issue
338:7;Atom_17957;![tooltip-without-fix](https://user-images.githubusercontent.com/6132051/44882987-77ba2980-ac6a-11e8-9dfd-c2c751026f44.gif);Premise: Visual content or supporting file
339:7;Atom_18174;per #18266;Premise: Referring to another issue
341:7;Atom_18395;since then atom-ide-ui and linter-ui-default tooltips have always been positioned erroneously.;Premise: Referring to another issue
341:8;Atom_18395;"<img width=""1225"" alt=""screen shot 2018-11-04 at 11 58 34 am"" src=""https://user-images.githubusercontent.com/297678/47969218-fba4df00-e028-11e8-878b-1c455df7db7c.png"">";Premise: Visual content or supporting file
341:12;Atom_18395;as then the packages are disabled and so I don't have the tooltips.;Premise: Specific usage experience
341:14;Atom_18395;so it lead me to believe they are using the same API, which I'm guessing is part of Atom's built-in overlay API.;Premise: Referring to another issue
341:15;Atom_18395;"The style that causes the error is this:```less// give the editor a spin!.item-views {perspective: 800px;atom-text-editor {transition: transform 3s cubic-bezier(0.925, 0.01, 0.095, 1.005);transform: rotateY(0deg); // set this to 360deg to go for a spin!}}`";Premise: Visual content or supporting file
342:5;CoCalc_94;in favor of https://github.com/sagemathinc/smc/issues/881;Premise: Referring to another issue
343:16;CoCalc_199;due to having to really dive into codemirror mode internals;Premise: Referring to another issue
343:20;CoCalc_199;due to my rewrite of rendering in April.;Premise: Referring to another issue
343:23;CoCalc_199;If you uncheck it in account settings and re-open your worksheet,;Premise: Evidence that the issue is or can be resolved
343:25;CoCalc_199;if there are no output widgets in the worksheet.;Premise: Evidence that the issue is or can be resolved
343:27;CoCalc_199;To fix this;Premise: Evidence that the issue is or can be resolved
343:28;CoCalc_199;https://cloud.sagemath.com/projects/4a5f0542-5873-4eed-a85c-a18c706e8bcd/files/support/2016-09-23-115723-issue199.sagews;Premise: Visual content or supporting file
344:6;CoCalc_224;"Resizing a window to mobile mode, then resize to between 768 and ~785 px wide;";Premise: Clarification/ providing additional information
344:9;CoCalc_224;"<img width=""1250"" alt=""screen shot 2016-09-23 at 10 57 51 am"" src=""https://cloud.githubusercontent.com/assets/1276278/18796103/9cbe1856-817c-11e6-8563-f7ac41426226.png"">";Premise: Visual content or supporting file
345:8;CoCalc_274;in favor of https://github.com/sagemathinc/smc/issues/304;Premise: Referring to another issue
346:4;CoCalc_316;If a user is viewing a project in SageMathCloud, shuts their laptop for over an hour (for free projects), and then opens it, the project will be stopped but not automatically start running again.;Premise: Specific usage experience
346:6;CoCalc_316;"<img width=""788"" alt=""screen shot 2016-01-18 at 4 45 34 pm"" src=""https://cloud.githubusercontent.com/assets/1276278/12406556/ec64561a-be02-11e5-9c20-965fc8aab03f.png"">";Premise: Visual content or supporting file
348:5;CoCalc_343;"1. first misunderstanding is, that ""contributing"" to ""free projects"" might mean, that you are paying for the projects of everyone who is running free projects ... not just an upgrade to your own. So, maybe, get rid of the word ""contribution"" at all and rephrase it as ""upgrade"". Also mix in the fact that there are no distinctions between free and non-free. Maybe call all free projects ""basic plan"", where what you get is just the quota you are getting for free.2. Make the ""subscription plans"" page more visible from the various pages where upgrades are available and distill a short summary of what's going on.";Premise: Evidence that the issue is or can be resolved
350:6;CoCalc_387;"since this ""Tip"" has a title";Premise: Specific usage experience
350:8;CoCalc_387;"<img width=""748"" alt=""screen shot 2016-01-22 at 6 01 02 am"" src=""https://cloud.githubusercontent.com/assets/1276278/12512490/8c49008c-c0cd-11e5-81ad-58c96177049a.png"">";Premise: Visual content or supporting file
351:4;CoCalc_478;shift-click on a tab is **undocumented**;Premise: Specific usage experience
351:7;CoCalc_478;since it isn't across projects;Premise: Specific usage experience
353:5;CoCalc_860;![smc-terminal-too-wide](https://cloud.githubusercontent.com/assets/207405/18198718/86b3908e-70fd-11e6-999d-882a19190590.png);Premise: Visual content or supporting file
354:5;CoCalc_884;since it could make timetravel unusable for some users.;Premise: Specific usage experience
356:6;CoCalc_908;due to rewrite.;Premise: Evidence that the issue is or can be resolved
357:4;CoCalc_1032;People are getting constantly confused by this.;Premise: Specific usage experience
357:7;CoCalc_1032;have a timeout or do something to detect output that indicates a potential hang (so output stops getting sent to stderr or stdout).;Premise: Evidence that the issue is or can be resolved
357:9;CoCalc_1032;Latex just ended somewhere in the middle ... very stupid;Premise: Specific usage experience
357:10;CoCalc_1032;since we disabled stoponerror;Premise: Evidence that the issue is or can be resolved
358:4;CoCalc_1116;"I believe using JupyterLab has made me more productive as I code a webapp. Jupyter itself seems pretty limited compared to SMC and I wish multi-window support was in SMC. I find JupyterLab's multi-window support far easier to use than Windows'.If multi-window support was added to SMC I would like to have the ability to mix things from multiple projects. For example I would want internal SMC dev chat on the right side but my primary working project files next to it on the left.";Premise: Specific usage experience
359:2;CoCalc_1123;"<img width=""375"" alt=""screen shot 2016-10-24 at 3 30 36 pm"" src=""https://cloud.githubusercontent.com/assets/1276278/19666348/d824bb44-99fe-11e6-9332-7d294a6d19db.png"">";Premise: Visual content or supporting file
361:3;CoCalc_1161;in sync'd codemirror, when doing undo/redo the top buffer is always position for the last edit,;Premise: Specific usage experience
361:4;CoCalc_1161;Make some changes with the screen split.  Position the top and bottom buffers (scroll, etc.).  Do an undo in the _bottom_ buffer.  What the top move but the bottom not.;Premise: Specific usage experience
362:3;CoCalc_1237;When I tried out drag and drop of files I thought I had to do it twice. I later realized that if I dragged to below where the box appeared that I had to keep holding down the left mouse key and drag to the box. Google Drive allows me to drag to anywhere.;Premise: Comparing with competitors/consistency
363:6;CoCalc_1238;Many programs, including Slack, Google Hangouts, Facebook, and Gitter, support copy and paste of images into messages, issues, etc.   Let's do the same.;Premise: Comparing with competitors/consistency
363:8;CoCalc_1238;since otherwise moving the .sage-chat file might break all embedded images.;Premise: Evidence that the issue is or can be resolved
365:5;CoCalc_1272;"For the start, the two initial entries are a ""normal"" download of the underlying sagews file, and a ""PDF"" download, which is exactly the same as printing except that it initiates a file download.";Premise: Specific usage experience
366:6;CoCalc_1500;where the notification information is 100% just a function of state of file use.;Premise: Comparing with competitors/consistency
366:8;CoCalc_1500;where there are no pop up bubbles in the browser. ;Premise: Comparing with competitors/consistency
367:4;CoCalc_1581;because they don't like the inline latex error messages at all.  At a minimum, make this very easy to disable (or off by default).;Premise: Referring to another issue
367:5;CoCalc_1581;<img;Premise: Visual content or supporting file
368:7;CoCalc_1653;"I just mean for this to be a quick 30-minute issue -- nothing more.Obviously, something much better would be to run smc-ls, have it determine all distinct snapshots of *this* file that are saved to disk, and maybe provide a list of their timestamps, sizes, in a dropdown, and the ability to click and revert the live version to any of those.  That's much more work -- and obviously we need it -- but it would be nearly trivial to at least just add a button.";Premise: Specific usage experience
368:10;CoCalc_1653;as a dup of #1609;Premise: Visual content or supporting file
369:4;CoCalc_1655;"customize spellcheck languagee.g. in a markdown file (but maybe we can generalize this to all editors), the spellcheck language is english.";Premise: Specific usage experience
369:5;CoCalc_1655;(having a global setting is not a good idea. besides the above, there are already provisions for tex documents);Premise: Specific usage experience
369:7;CoCalc_1655;but still be able to set things for any given document.;Premise: Clarification/ providing additional information
370:5;CoCalc_1727;"when clicking preview, the box opens up but the only way to close it is to click the ""X""";Premise: Specific usage experience
371:6;CoCalc_1836;"FWIW, I tested values less than 1 in the alpha parameter above attaching a .css file to a test worksheet with```.sagews-output-cm-wrap {background-color: cyan;}```and was able to get transparent background when showing a 3d object, although with only that change, the value of `background` was ignored except for a small strip of color at the bottom of the image.When is it useful to have transparent background for a 3d plot?";Premise: Evidence that the issue is or can be resolved
371:8;CoCalc_1836;"document in show background option for 3d plotting.1. Do this in a Sage worksheet:```show(icosahedron(color='green', opacity=.5, mesh=5, spin=10), background='rgb(8,3,1)')```2. Type `show?`. This background option is not documented.  This is a docstring in the smc_sagews python library.So document it.Also, if there is a way to make the background transparent";Premise: Specific usage experience
372:4;CoCalc_1885;since it is fine for me;Premise: Evidence that the issue is or can be resolved
372:5;CoCalc_1885;![smc-linebreak-20170422](https://cloud.githubusercontent.com/assets/207405/25305114/e28ce30e-2775-11e7-8c72-4fa55774caa6.png);Premise: Visual content or supporting file
373:5;CoCalc_1914;as I believe it is relatively standard shortcut across many UI, at least on mac :-);Premise: Comparing with competitors/consistency
374:5;CoCalc_1927;" See attached GIF.![kernel-logo-blinking](https://cloud.githubusercontent.com/assets/335567/25775468/7cd91eac-325a-11e7-9447-d06dd2022595.gif)";Premise: Visual content or supporting file
376:4;CoCalc_2077;since it is merged;Premise: Referring to another issue
376:6;CoCalc_2077;> Relevant file: https://github.com/sagemathinc/cocalc/blob/master/src/smc-webapp/public/editor_md.cjsx;Premise: Referring to another issue
377:3;CoCalc_2089;"since double click is ignored1. Type a message in a chatroom.2. Try to double click on it (I guess by double tapping finger), and nothing happens.";Premise: Referring to another issue
377:7;CoCalc_2089;"Give it a shot.  The fix here will either be long hold if it works (good), or a separate button.  E.g., on the top right a checkbox or button labeled ""Edit"", which when clicked shows an edit button next to each chat, and clicking that button allows for editing. ";Premise: Specific usage experience
377:9;CoCalc_2089;For example, in github their solution is to have a little pencil icon above each message, which you click on to edit the message - it's not so bad.;Premise: Comparing with competitors/consistency
378:9;CoCalc_2600;"since they are supposed to be globally uniqueon a site, and software names could easily clash by accident";Premise: Clarification/ providing additional information
378:13;CoCalc_2600;allowing links to specific software executables;Premise: Evidence that the issue is or can be resolved
378:15;CoCalc_2600;"currently look like this:gap&gt; </pre><h3>Gcc<code class=""software"">/usr/bin/gcc</code></h3><pre class=""stdout"">gcc (Ubuntu 5.4.0-6ubuntu1~16.04.5) 5.4.0 20160609";Premise: Visual content or supporting file
378:18;CoCalc_2600;It is live now.;Premise: Evidence that the issue is or can be resolved
379:3;CoCalc_2684;when our backend services or other email related tools notice that a user's email address is wrong, set a flag in the account's database entry. If such flag is set, display a warning in the UI and guide the user to fix the email address (and preferably, validate it, too);Premise: Specific usage experience
380:4;CoCalc_3249;"![abahd](https://user-images.githubusercontent.com/528072/46559739-d6507400-c8b6-11e8-8036-0a8dd0786c6e.png)Select course Configuration / Export grades / CSV file... and the following is generated:```""student"",""xxx-xxx-xxx"",,"""","""","""",""100%"",""100% "","""","""",""""a boy"",""and his"",""dog"""",""you're on a roll""```The above CSV does not import properly. According to e.g. the [Edoceo CSV reference](http://edoceo.com/utilitas/csv-file-format):> Embedded double-quote characters must be doubled, and the field must be delimited with double-quotes.When the line above is corrected to the following, the content imports to Excel as expected.";Premise: Visual content or supporting file
381:4;CoCalc_3340;"![screenshot 2018-11-08 at 5 49 53 pm](https://user-images.githubusercontent.com/1276278/48238151-c4af3000-e37e-11e8-9ba1-f77c377a3976.png)## WorkaroundAs a workaround, click the checkbox to accept terms like you are creating an account, then use one of those buttons to single sign on.";Premise: Visual content or supporting file
381:6;CoCalc_3340;screenshot;Premise: Visual content or supporting file
382:5;CoCalc_3363;so your sign up funnel leads to conversions with minimal user interaction. ?;Premise: Evidence that the issue is or can be resolved
382:6;CoCalc_3363;"<img width=""1029"" alt=""order-bug"" src=""https://user-images.githubusercontent.com/528072/48986507-a3b74080-f0db-11e8-9de2-48b655933b7a.png"">";Premise: Visual content or supporting file
383:4;CoCalc_3389;because there is somehow another div in front of it (it's the one which displays the terminal content, because when I try to scroll, it selects the text).;Premise: Specific usage experience
383:10;CoCalc_3389;This was likely caused by switching to the DOM renderer (from canvas).  It's an upstream issue, but I'm fine with us trying to fix it somehow.;Premise: Evidence that the issue is or can be resolved
383:11;CoCalc_3389;![screenshot from 2018-12-03 13-59-18](https://user-images.githubusercontent.com/207405/49375211-f8724100-f703-11e8-83c5-7c94709a0da8.png);Premise: Visual content or supporting file
384:6;CoCalc_3485;"In short, I tried to list a file unlisted (that doesn't have internet access), and even though it says it can share it publically, it changes to that when I click update and shows up on the public shared notebooks.Here is a gif:![unwantedshare](https://user-images.githubusercontent.com/322822/51445190-5a94fe80-1cd0-11e9-9500-930a5d9f5708.gif)";Premise: Visual content or supporting file
385:3;CoCalc_3679;"1. Open a .course file.2. For  a moment it appears to have 0 students, etc.3. A few seconds later everything is properly loaded.";Premise: Specific usage experience
385:4;CoCalc_3679;I think my recent sync rewrite and API changes related to it broke this;Premise: Specific usage experience
386:6;CoCalc_3688;Of related interest, if you type `foo?` then shift enter, Jupyter classic shows the pager, whereas JupyterLab shows the result like normal output as part of the notebook...  Very different.;Premise: Comparing with competitors/consistency
386:8;CoCalc_3688;"implement switching between tooltip and pager, like in Jupyter classic1. Type some function and ""shift+tab"" to see the docstring.2. In Jupyter classic you hit shift+tab a whole bunch of times and it shows the docstring in various ways: (a) as a tooltip, (b) as a taller tooltip, (c) in page, etc.";Premise: Comparing with competitors/consistency
386:10;CoCalc_3688;"to switch to source code view, which is a ""level 1"" introspection, instead of ""level 0""";Premise: Evidence that the issue is or can be resolved
386:12;CoCalc_3688;since docstrings in Sage at least are often long, and having them appear in the page by default is in fact really nice;Premise: Clarification/ providing additional information
386:14;CoCalc_3688;Just togling the display via shift+tab feels pretty good in practice;Premise: Evidence that the issue is or can be resolved
386:15;CoCalc_3688;(compared to how jupyter classic works...).  Hmmm.;Premise: Comparing with competitors/consistency
